dataset,label,model,step,accuracy
popqa,PopQA,SSRL,0,0.02000833
popqa,PopQA,SSRL,16,0.11282834
popqa,PopQA,SSRL,32,0.20353334
popqa,PopQA,SSRL,48,0.19720000
popqa,PopQA,SSRL,64,0.19720000
popqa,PopQA,SSRL,80,0.20739999
popqa,PopQA,SSRL,96,0.22560000
popqa,PopQA,SSRL,112,0.20780000
popqa,PopQA,SSRL,128,0.30340001
popqa,PopQA,SSRL,144,0.29780000
popqa,PopQA,SSRL,160,0.29980001
popqa,PopQA,SSRL,176,0.31220001
popqa,PopQA,SSRL,192,0.28520000
popqa,PopQA,SSRL,208,0.29260001
popqa,PopQA,SSRL,224,0.28360000
popqa,PopQA,SSRL,240,0.28180000
popqa,PopQA,SSRL,256,0.28000000
popqa,PopQA,SSRL,272,0.27820000
popqa,PopQA,SSRL,288,0.28000000
popqa,PopQA,SSRL,304,0.28180000
popqa,PopQA,SSRL,320,0.28720000
popqa,PopQA,SSRL,336,0.27640000
popqa,PopQA,SSRL,352,0.28720000
popqa,PopQA,SSRL,368,0.28000000
popqa,PopQA,SSRL,384,0.27280000
popqa,PopQA,SSRL,400,0.28360000
popqa,PopQA,SSRL,416,0.29080001
popqa,PopQA,SSRL,432,0.29800001
popqa,PopQA,SSRL,448,0.29620001
popqa,PopQA,SSRL,464,0.29060000
popqa,PopQA,SSRL,480,0.28360000
popqa,PopQA,SSRL,496,0.29620001
popqa,PopQA,SSRL,512,0.30340001
popqa,PopQA,SSRL,528,0.29620001
popqa,PopQA,SSRL,544,0.29440001
popqa,PopQA,SSRL,560,0.29440001
popqa,PopQA,SSRL,576,0.28360000
popqa,PopQA,SSRL,592,0.28000000
popqa,PopQA,SSRL,608,0.27820000
popqa,PopQA,SSRL,624,0.27460000
popqa,PopQA,SSRL,640,0.27640000
popqa,PopQA,SSRL,656,0.28180000
popqa,PopQA,SSRL,672,0.28900000
popqa,PopQA,SSRL,688,0.28360000
popqa,PopQA,SSRL,704,0.29440001
popqa,PopQA,SSRL,720,0.28180000
popqa,PopQA,SSRL,736,0.28540000
popqa,PopQA,SSRL,752,0.28180000
popqa,PopQA,SSRL,768,0.28900000
popqa,PopQA,SSRL,784,0.30160001
popqa,PopQA,SSRL,800,0.28900000
popqa,PopQA,SSRL,816,0.30160001
popqa,PopQA,SSRL,832,0.30700001
popqa,PopQA,SSRL,848,0.30340001
popqa,PopQA,SSRL,864,0.29980001
popqa,PopQA,SSRL,880,0.29260001
popqa,PopQA,SSRL,896,0.29440001
popqa,PopQA,SSRL,912,0.29620001
popqa,PopQA,SSRL,928,0.28180000
popqa,PopQA,SSRL,944,0.28720000
popqa,PopQA,SSRL,960,0.29620001
popqa,PopQA,SSRL,976,0.30160001
popqa,PopQA,SSRL,992,0.30340001
popqa,PopQA,SSRL,1008,0.29260001
popqa,PopQA,SSRL,1024,0.28900000
popqa,PopQA,SSRL,1040,0.29080001
popqa,PopQA,SSRL,1056,0.32679999
popqa,PopQA,SSRL,1072,0.30700001
popqa,PopQA,SSRL,1088,0.31240001
popqa,PopQA,SSRL,1104,0.30700001
popqa,PopQA,SSRL,1120,0.31780002
popqa,PopQA,SSRL,1136,0.31600001
popqa,PopQA,SSRL,1152,0.30340001
popqa,PopQA,SSRL,1168,0.31060001
popqa,PopQA,SSRL,1184,0.31240001
popqa,PopQA,SSRL,1200,0.30880001
popqa,PopQA,SSRL,1216,0.31240001
popqa,PopQA,SSRL,1232,0.30340001
popqa,PopQA,SSRL,1248,0.31420001
popqa,PopQA,SSRL,1264,0.30160001
popqa,PopQA,SSRL,1280,0.30880001
popqa,PopQA,SSRL,1296,0.30340001
popqa,PopQA,SSRL,1312,0.31240001
popqa,PopQA,SSRL,1324,0.31240001
popqa,PopQA,Reflection-tuned SSRL (Ours),0,0.30700001
popqa,PopQA,Reflection-tuned SSRL (Ours),16,0.30340001
popqa,PopQA,Reflection-tuned SSRL (Ours),32,0.30340001
popqa,PopQA,Reflection-tuned SSRL (Ours),48,0.30880001
popqa,PopQA,Reflection-tuned SSRL (Ours),64,0.30160001
popqa,PopQA,Reflection-tuned SSRL (Ours),80,0.29800001
popqa,PopQA,Reflection-tuned SSRL (Ours),96,0.30880001
popqa,PopQA,Reflection-tuned SSRL (Ours),112,0.31240001
popqa,PopQA,Reflection-tuned SSRL (Ours),128,0.32319999
popqa,PopQA,Reflection-tuned SSRL (Ours),144,0.32679999
popqa,PopQA,Reflection-tuned SSRL (Ours),160,0.32499999
popqa,PopQA,Reflection-tuned SSRL (Ours),176,0.31600001
popqa,PopQA,Reflection-tuned SSRL (Ours),192,0.32139999
popqa,PopQA,Reflection-tuned SSRL (Ours),208,0.32319999
popqa,PopQA,Reflection-tuned SSRL (Ours),224,0.31420001
popqa,PopQA,Reflection-tuned SSRL (Ours),240,0.31780002
popqa,PopQA,Reflection-tuned SSRL (Ours),256,0.31600001
popqa,PopQA,Reflection-tuned SSRL (Ours),272,0.31600001
popqa,PopQA,Reflection-tuned SSRL (Ours),288,0.32679999
popqa,PopQA,Reflection-tuned SSRL (Ours),304,0.32679999
popqa,PopQA,Reflection-tuned SSRL (Ours),320,0.31960002
popqa,PopQA,Reflection-tuned SSRL (Ours),336,0.32859999
popqa,PopQA,Reflection-tuned SSRL (Ours),352,0.33399999
popqa,PopQA,Reflection-tuned SSRL (Ours),368,0.33579999
popqa,PopQA,Reflection-tuned SSRL (Ours),384,0.33579999
popqa,PopQA,Reflection-tuned SSRL (Ours),400,0.31240001
popqa,PopQA,Reflection-tuned SSRL (Ours),416,0.32859999
popqa,PopQA,Reflection-tuned SSRL (Ours),432,0.32679999
popqa,PopQA,Reflection-tuned SSRL (Ours),448,0.33399999
popqa,PopQA,Reflection-tuned SSRL (Ours),464,0.32499999
popqa,PopQA,Reflection-tuned SSRL (Ours),480,0.33219999
popqa,PopQA,Reflection-tuned SSRL (Ours),496,0.32319999
popqa,PopQA,Reflection-tuned SSRL (Ours),512,0.31960002
popqa,PopQA,Reflection-tuned SSRL (Ours),528,0.32679999
popqa,PopQA,Reflection-tuned SSRL (Ours),544,0.32679999
popqa,PopQA,Reflection-tuned SSRL (Ours),560,0.32319999
popqa,PopQA,Reflection-tuned SSRL (Ours),576,0.33939999
popqa,PopQA,Reflection-tuned SSRL (Ours),592,0.33579999
popqa,PopQA,Reflection-tuned SSRL (Ours),608,0.34119999
popqa,PopQA,Reflection-tuned SSRL (Ours),624,0.32859999
popqa,PopQA,Reflection-tuned SSRL (Ours),640,0.31060001
popqa,PopQA,Reflection-tuned SSRL (Ours),656,0.32319999
popqa,PopQA,Reflection-tuned SSRL (Ours),672,0.34119999
popqa,PopQA,Reflection-tuned SSRL (Ours),688,0.33759999
popqa,PopQA,Reflection-tuned SSRL (Ours),704,0.33219999
popqa,PopQA,Reflection-tuned SSRL (Ours),720,0.31060001
popqa,PopQA,Reflection-tuned SSRL (Ours),736,0.31960002
popqa,PopQA,Reflection-tuned SSRL (Ours),752,0.32499999
popqa,PopQA,Reflection-tuned SSRL (Ours),768,0.32859999
popqa,PopQA,Reflection-tuned SSRL (Ours),784,0.32499999
popqa,PopQA,Reflection-tuned SSRL (Ours),800,0.32319999
popqa,PopQA,Reflection-tuned SSRL (Ours),816,0.31780002
popqa,PopQA,Reflection-tuned SSRL (Ours),832,0.31060001
popqa,PopQA,Reflection-tuned SSRL (Ours),848,0.32319999
popqa,PopQA,Reflection-tuned SSRL (Ours),864,0.32679999
popqa,PopQA,Reflection-tuned SSRL (Ours),880,0.34119999
popqa,PopQA,Reflection-tuned SSRL (Ours),896,0.33219999
popqa,PopQA,Reflection-tuned SSRL (Ours),912,0.32499999
popqa,PopQA,Reflection-tuned SSRL (Ours),928,0.33399999
popqa,PopQA,Reflection-tuned SSRL (Ours),944,0.33759999
popqa,PopQA,Reflection-tuned SSRL (Ours),960,0.32859999
popqa,PopQA,Reflection-tuned SSRL (Ours),976,0.33579999
popqa,PopQA,Reflection-tuned SSRL (Ours),992,0.33939999
popqa,PopQA,Reflection-tuned SSRL (Ours),1008,0.34480000
popqa,PopQA,Reflection-tuned SSRL (Ours),1024,0.33219999
